_id,Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId,geometry,Longitude,Latitude
105,804,GO-2016989870,2016,D53,Shooting,2016-06-07T04:00:00,104,Mount Pleasant West (104),,-79.3967972,105,"{u'type': u'Point', u'coordinates': (-79.3967972, 43.7045708)}",-79.3967972,43.7045708
106,805,GO-20161148938,2016,D14,Shooting,2016-07-01T04:00:00,78,Kensington-Chinatown (78),,-79.4040756,106,"{u'type': u'Point', u'coordinates': (-79.4040756, 43.6572113)}",-79.4040756,43.6572113
107,806,GO-20161148938,2016,D14,Shooting,2016-07-01T04:00:00,78,Kensington-Chinatown (78),,-79.4040756,107,"{u'type': u'Point', u'coordinates': (-79.4040756, 43.6572113)}",-79.4040756,43.6572113
108,807,GO-20161116247,2016,D11,Other,2016-07-03T04:00:00,84,Little Portugal (84),,-79.4379425,108,"{u'type': u'Point', u'coordinates': (-79.4379425, 43.6491318)}",-79.4379425,43.6491318
109,808,GO-20161229465,2016,D31,Shooting,2016-07-13T04:00:00,26,Downsview-Roding-CFB (26),,-79.520134,109,"{u'type': u'Point', u'coordinates': (-79.520134, 43.7378082)}",-79.520134,43.7378082
110,809,GO-20161263080,2016,D51,Other,2016-07-18T04:00:00,75,Church-Yonge Corridor (75),,-79.3719101,110,"{u'type': u'Point', u'coordinates': (-79.3719101, 43.6504669)}",-79.3719101,43.6504669
111,810,GO-20161329227,2016,D41,Shooting,2016-07-28T04:00:00,127,Bendale (127),,-79.2580719,111,"{u'type': u'Point', u'coordinates': (-79.2580719, 43.7529755)}",-79.2580719,43.7529755
112,811,GO-20161335085,2016,D51,Stabbing,2016-07-29T04:00:00,75,Church-Yonge Corridor (75),,-79.3824921,112,"{u'type': u'Point', u'coordinates': (-79.3824921, 43.6694145)}",-79.3824921,43.6694145
113,812,GO-20161403032,2016,D55,Other,2016-08-09T04:00:00,69,Blake-Jones (69),,-79.334877,113,"{u'type': u'Point', u'coordinates': (-79.334877, 43.6771507)}",-79.334877,43.6771507
114,813,GO-20161443064,2016,D51,Other,2016-08-15T04:00:00,73,Moss Park (73),,-79.3734589,114,"{u'type': u'Point', u'coordinates': (-79.3734589, 43.6573067)}",-79.3734589,43.6573067
115,814,GO-2016666749,2016,D51,Other,2016-04-19T04:00:00,68,North Riverdale (68),,-79.3529129,115,"{u'type': u'Point', u'coordinates': (-79.3529129, 43.6661606)}",-79.3529129,43.6661606
116,815,GO-20161480338,2016,D14,Shooting,2016-08-21T04:00:00,82,Niagara (82),,-79.4127045,116,"{u'type': u'Point', u'coordinates': (-79.4127045, 43.6419144)}",-79.4127045,43.6419144
117,816,GO-20161506128,2016,D43,Other,2016-08-25T04:00:00,139,Scarborough Village (139),,-79.2228241,117,"{u'type': u'Point', u'coordinates': (-79.2228241, 43.7395859)}",-79.2228241,43.7395859
118,817,GO-20161506128,2016,D43,Other,2016-08-25T04:00:00,139,Scarborough Village (139),,-79.2228241,118,"{u'type': u'Point', u'coordinates': (-79.2228241, 43.7395859)}",-79.2228241,43.7395859
119,818,GO-20161506128,2016,D43,Other,2016-08-25T04:00:00,139,Scarborough Village (139),,-79.2228241,119,"{u'type': u'Point', u'coordinates': (-79.2228241, 43.7395859)}",-79.2228241,43.7395859
120,819,GO-20161520715,2016,D55,Shooting,2016-08-27T04:00:00,70,South Riverdale (70),,-79.3523102,120,"{u'type': u'Point', u'coordinates': (-79.3523102, 43.6600647)}",-79.3523102,43.6600647
121,820,GO-20161613172,2016,D14,Shooting,2016-09-11T04:00:00,85,South Parkdale (85),,-79.4253387,121,"{u'type': u'Point', u'coordinates': (-79.4253387, 43.6373482)}",-79.4253387,43.6373482
